Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for bsd-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:32:22 by "java_re" with gcc 4.2.1 (Based on Apple Inc. build 5658) (LLVM build 2336.11.00)
Memory: 4k page, physical 16777216k(783600k free)

/proc/meminfo:

CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=524288 -XX:NewSize=524288 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
0.357: [GC (Allocation Failure) 0.357: [DefNew: 447K->63K(448K), 0.0009358 secs] 9879K->9874K(1048512K), 0.0009829 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.367: [GC (Allocation Failure) 0.367: [DefNew: 447K->63K(448K), 0.0011145 secs] 10258K->10254K(1048512K), 0.0011675 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.375: [GC (Allocation Failure) 0.375: [DefNew: 447K->63K(448K), 0.0011047 secs] 10638K->10632K(1048512K), 0.0011495 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.385: [GC (Allocation Failure) 0.385: [DefNew: 447K->64K(448K), 0.0009772 secs] 11016K->11010K(1048512K), 0.0010385 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.395: [GC (Allocation Failure) 0.395: [DefNew: 448K->63K(448K), 0.0009316 secs] 11394K->11390K(1048512K), 0.0009752 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.404: [GC (Allocation Failure) 0.404: [DefNew: 447K->63K(448K), 0.0010127 secs] 11774K->11768K(1048512K), 0.0010632 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.414: [GC (Allocation Failure) 0.414: [DefNew: 447K->63K(448K), 0.0010807 secs] 12152K->12147K(1048512K), 0.0011376 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.424: [GC (Allocation Failure) 0.424: [DefNew: 447K->63K(448K), 0.0009247 secs] 12531K->12527K(1048512K), 0.0009635 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
0.432: [GC (Allocation Failure) 0.432: [DefNew: 447K->63K(448K), 0.0011677 secs] 12911K->12905K(1048512K), 0.0012261 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.442: [GC (Allocation Failure) 0.442: [DefNew: 447K->63K(448K), 0.0011982 secs] 13289K->13281K(1048512K), 0.0012481 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.452: [GC (Allocation Failure) 0.452: [DefNew: 447K->63K(448K), 0.0010964 secs] 13665K->13661K(1048512K), 0.0011478 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.461: [GC (Allocation Failure) 0.461: [DefNew: 447K->64K(448K), 0.0012068 secs] 14045K->14040K(1048512K), 0.0013142 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.472: [GC (Allocation Failure) 0.472: [DefNew: 448K->63K(448K), 0.0012914 secs] 14424K->14420K(1048512K), 0.0013536 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.480: [GC (Allocation Failure) 0.480: [DefNew: 386K->63K(448K), 0.0011054 secs] 14743K->14735K(1048512K), 0.0011679 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.486: [GC (Allocation Failure) 0.486: [DefNew: 447K->63K(448K), 0.0014589 secs] 15119K->15118K(1048512K), 0.0015134 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.497: [GC (Allocation Failure) 0.497: [DefNew: 447K->63K(448K), 0.0014677 secs] 15502K->15498K(1048512K), 0.0015566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.507: [GC (Allocation Failure) 0.507: [DefNew: 447K->63K(448K), 0.0011350 secs] 15882K->15875K(1048512K), 0.0011806 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.516: [GC (Allocation Failure) 0.516: [DefNew: 447K->64K(448K), 0.0009102 secs] 16259K->16254K(1048512K), 0.0009637 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.526: [GC (Allocation Failure) 0.526: [DefNew: 448K->63K(448K), 0.0012551 secs] 16638K->16634K(1048512K), 0.0013246 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
0.535: [GC (Allocation Failure) 0.535: [DefNew: 447K->63K(448K), 0.0012995 secs] 17018K->17012K(1048512K), 0.0013576 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.544: [GC (Allocation Failure) 0.544: [DefNew: 447K->64K(448K), 0.0013850 secs] 17396K->17388K(1048512K), 0.0014561 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.555: [GC (Allocation Failure) 0.555: [DefNew: 448K->64K(448K), 0.0013222 secs] 17772K->17768K(1048512K), 0.0013890 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.565: [GC (Allocation Failure) 0.565: [DefNew: 448K->63K(448K), 0.0011713 secs] 18152K->18147K(1048512K), 0.0012205 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
